,baseline_demand
Commodity_218,4.0
Commodity_219,3.0
Commodity_220,8.0
Commodity_221,1.0
Commodity_222,6.0
Commodity_223,1.0
Commodity_224,13.0
Commodity_225,1.0
Commodity_226,9.0
Commodity_227,3.0
Commodity_228,174.0
Commodity_229,1.0
Commodity_230,1.0
Commodity_231,1.0
Commodity_232,5.0
Commodity_233,1.0
Commodity_234,6.0
Commodity_235,3.0
Commodity_236,1.0
Commodity_237,1.0
Commodity_238,1.0
Commodity_239,1.0
Commodity_240,2.0
Commodity_241,2.0
Commodity_242,1.0
Commodity_243,1.0
Commodity_244,1.0
Commodity_245,1.0
Commodity_246,2.0
Commodity_247,2.0
Commodity_248,18.0
Commodity_249,1.0
Commodity_250,1.0
Commodity_251,1.0
Commodity_252,2.0
Commodity_253,1.0
Commodity_254,2.0
Commodity_255,1.0
Commodity_256,1.0
Commodity_257,8.0
Commodity_258,1.0
Commodity_259,2.0
Commodity_260,2.0
Commodity_261,6.0
Commodity_262,4.0
Commodity_263,2.0
Commodity_264,19.0
Commodity_265,1.0
Commodity_266,1.0
Commodity_267,1.0
Commodity_268,1.0
Commodity_269,2.0
Commodity_270,1.0
Commodity_271,2.0
Commodity_272,16.0
Commodity_273,1.0
Commodity_274,1.0
Commodity_275,1.0
Commodity_276,1.0
Commodity_277,9.0
Commodity_278,8.0
Commodity_279,1.0
Commodity_280,1.0
Commodity_281,9.0
Commodity_282,1.0
Commodity_283,1.0
Commodity_284,1.0
Commodity_285,2.0
Commodity_286,2.0
Commodity_287,2.0
Commodity_288,1.0
Commodity_289,1.0
Commodity_290,3.0
Commodity_291,23.0
Commodity_292,1.0
Commodity_293,18.0
Commodity_294,5.0
Commodity_295,43.0
Commodity_296,4.0
Commodity_297,1.0
Commodity_298,20.0
Commodity_299,1.0
Commodity_300,3.0
Commodity_301,2.0
Commodity_302,8.0
Commodity_303,1.0
Commodity_304,5.0
Commodity_305,70.0
Commodity_306,2.0
Commodity_307,6.0
Commodity_308,1.0
Commodity_309,1.0
Commodity_310,1.0
Commodity_311,7.0
Commodity_312,5.0
Commodity_313,21.0
Commodity_314,4.0
Commodity_315,1.0
Commodity_316,2.0
Commodity_317,1.0
Commodity_318,1.0
Commodity_319,1.0
Commodity_320,1.0
Commodity_321,3.0
Commodity_322,1.0
Commodity_323,2.0
Commodity_324,1.0
Commodity_325,4.0
Commodity_326,4.0
Commodity_327,4.0
Commodity_328,2.0
Commodity_329,1.0
Commodity_330,1.0
Commodity_331,1.0
Commodity_332,1.0
Commodity_333,5.0
Commodity_334,2.0
Commodity_335,1.0
Commodity_336,1.0
Commodity_337,1.0
Commodity_338,2.0
Commodity_339,1.0
Commodity_340,1.0
Commodity_341,5.0
Commodity_342,1.0
Commodity_343,2.0
Commodity_344,49.0
Commodity_345,11.0
Commodity_346,13.0
Commodity_347,2.0
Commodity_348,1.0
Commodity_349,17.0
Commodity_350,1.0
Commodity_351,2.0
Commodity_352,1.0
Commodity_353,4.0
Commodity_354,1.0
Commodity_355,1.0
Commodity_356,4.0
Commodity_357,2.0
Commodity_358,1.0
Commodity_359,1.0
Commodity_360,1.0
Commodity_361,1.0
Commodity_362,1.0
Commodity_363,1.0
Commodity_364,1.0
Commodity_365,1.0
Commodity_366,1.0
Commodity_367,1.0
Commodity_368,2.0
Commodity_369,1.0
Commodity_370,9.0
Commodity_371,47.0
Commodity_372,1.0
Commodity_373,1.0
Commodity_374,2.0
Commodity_375,1.0
Commodity_376,1.0
Commodity_377,2.0
Commodity_378,1.0
Commodity_379,3.0
Commodity_380,6.0
Commodity_381,1.0
Commodity_382,1.0
Commodity_383,8.0
Commodity_384,1.0
Commodity_385,3.0
Commodity_386,1.0
Commodity_387,1.0
Commodity_388,3.0
Commodity_389,1.0
Commodity_390,1.0
Commodity_391,1.0
Commodity_392,1.0
Commodity_393,1.0
Commodity_394,1.0
Commodity_395,1.0
Commodity_396,1.0
Commodity_397,1.0
Commodity_398,1.0
Commodity_399,1.0
Commodity_400,531.0
Commodity_401,3.0
Commodity_402,6.0
Commodity_403,2.0
Commodity_404,5.0
Commodity_405,13.0
Commodity_406,1.0
Commodity_407,1.0
Commodity_408,1.0
Commodity_409,84.0
Commodity_410,1.0
Commodity_411,1.0
Commodity_412,1.0
Commodity_413,3.0
Commodity_414,1.0
Commodity_415,8.0
Commodity_416,4.0
Commodity_417,2.0
Commodity_418,1.0
Commodity_419,1.0
Commodity_420,1.0
Commodity_421,1.0
Commodity_422,81.0
Commodity_423,1.0
Commodity_424,1.0
Commodity_425,1.0
Commodity_426,1.0
Commodity_427,1.0
Commodity_428,4.0
Commodity_429,1.0
Commodity_430,3.0
Commodity_431,1.0
Commodity_432,1.0
Commodity_433,1.0
Commodity_434,1.0
Commodity_435,7.0
Commodity_436,8.0
Commodity_437,1.0
Commodity_438,2.0
Commodity_439,3.0
Commodity_440,1.0
Commodity_441,10.0
Commodity_442,4.0
Commodity_443,1.0
Commodity_444,1.0
Commodity_445,1.0
Commodity_446,1.0
Commodity_447,1.0
Commodity_448,2.0
Commodity_449,3.0
Commodity_450,3.0
Commodity_451,1.0
Commodity_452,4.0
Commodity_453,1.0
Commodity_454,2.0
Commodity_455,1.0
Commodity_456,2.0
Commodity_457,17.0
Commodity_458,2.0
Commodity_459,1.0
Commodity_460,1.0
Commodity_461,2.0
Commodity_462,2.0
Commodity_463,7.0
Commodity_464,3.0
Commodity_465,3.0
Commodity_466,1.0
Commodity_467,14.0
Commodity_468,1.0
Commodity_469,12.0
Commodity_470,3.0
Commodity_471,8.0
Commodity_472,13.0
Commodity_473,2.0
Commodity_474,4.0
Commodity_475,1.0
Commodity_476,1.0
Commodity_477,2.0
Commodity_478,1.0
Commodity_479,1.0
Commodity_480,1.0
Commodity_481,1.0
Commodity_482,3.0
Commodity_483,1.0
Commodity_484,1.0
Commodity_485,7.0
Commodity_486,3.0
Commodity_487,3.0
Commodity_488,2.0
Commodity_489,1.0
Commodity_490,1.0
Commodity_491,1.0
Commodity_492,9.0
Commodity_493,2.0
Commodity_494,2.0
Commodity_495,2.0
Commodity_496,1.0
Commodity_497,1.0
Commodity_498,28.0
Commodity_499,509.0
Commodity_500,1.0
